"LA IMPORTANCIA ESTA EN EL ORDEN QUE SALEN LAS VBLES - vendría a ser la ganancia total que ""genera"" el corte con esa variable"				
Feature	Gain	Cover	Frequency	
ctarjeta_visa_debitos_automaticos_lag1	0.00139548575971766	0.0033265458642199	0.00252180308920878	
mautoservicio_lag1	0.00138865993377507	0.0021148095662947	0.00327484151168085	
Master_mpagominimo_lag1	0.00137677913283704	0.00249138351278061	0.00223284648523694	
Master_mpagospesos_lag1	0.00136597477019982	0.00285721124546294	0.00279324717172779	
mtarjeta_visa_consumo_delta1	0.00131953086706947	0.0033396854553545	0.0032047914258695	
ctransferencias_emitidas	0.00130405634458585	0.00458781477650116	0.00298588490770901	
Visa_mconsumosdolares_delta1	0.00122475491211665	0.00241129894107019	0.00269692830373717	
mautoservicio_delta1	0.00120792169472221	0.00541292370574956	0.00305593499352037	
ccaja_seguridad	0.00120726041453198	0.00311700435746875	0.000682988336660712	
mpagomiscuentas_lag1	0.00119552019330431	0.00440644338356979	0.00286329725753914	
mcuenta_debitos_automaticos_lag1	0.00118291156093189	0.00241302282352961	0.0025743406535673	
mtarjeta_master_consumo	0.00115574647677532	0.00145345106244651	0.00114707015516094	
ccomisiones_otras_delta1	0.00114339155709759	0.00190873232313805	0.00223284648523694	
mcomisiones_mantenimiento_delta1	0.00113207007391268	0.00779048927122278	0.00174249588455746	
ctarjeta_debito_lag1	0.00113053218151244	0.00213532337800972	0.00209274631361423	
Master_msaldototal	0.00113003713850033	0.0026028431424428	0.00244299674267101	
Master_fultimo_cierre_delta1	0.0011271027344156	0.0015593378824868	0.00213652761724633	
Master_mpagospesos	0.00110036109934437	0.00457230716711113	0.0032047914258695	
ccaja_seguridad_lag1	0.00105660134464816	0.000378042557768968	0.000271444082519001	
Master_status_lag1	0.00105376972754426	0.00219924757328247	0.000385275471962453	
Master_mpagominimo	0.00103823037422083	0.00425624776597524	0.00239921543903891	
ctarjeta_master	0.00103564825317298	0.000798795909417529	0.000367762950509614	
Visa_fultimo_cierre_delta1	0.00100737679937883	0.00235997927571407	0.0020314524885293	
ctarjeta_debito_trx_lag1	0.00100597441813354	0.00353257017412544	0.00288080977899198	
cprestamos_personales_delta1	0.000998340945208734	0.00181703848884434	0.000332737907603937	
ctransferencias_emitidas_lag1	0.000991843879245865	0.00323690275420598	0.00214528387797275	
cplazo_fijo	0.000985338741426415	0.00309534617927727	0.000481594339953066	
tcuentas_lag1	0.000983685623309466	0.00488929935448453	0.000551644425764422	
Master_mpagospesos_delta1	0.000976351110074894	0.00471271250111519	0.00213652761724633	
ctarjeta_visa_trx_delta1	0.000909480392533433	0.00185385375595058	0.00191762109908585	
internet_lag1	0.00089967332960764	0.00309641836404766	0.00190010857763301	
ctransferencias_emitidas_delta1	0.000853075099623014	0.00263353915767827	0.00168995832019894	
ctarjeta_debito_trx_delta1	0.000852744048122095	0.0029999364002023	0.00211901509579349	
mextraccion_autoservicio_delta1	0.00078049920762546	0.00271208087406512	0.00188259605618017	
Visa_mpagado	0.000777929252758691	0.0027951446788584	0.00189135231690659	
ccomisiones_mantenimiento_lag1	0.000777620744810741	0.00143129968078831	0.00126090154460439	
Master_msaldototal_lag1	0.00077525113603851	0.00150671550919743	0.00186508353472733	
Master_mconsumospesos_lag1	0.000764611156118802	0.00231803475366012	0.00188259605618017	
ccuenta_debitos_automaticos_lag1	0.000753070138498809	0.00306393774206037	0.0014447830198592	
ccuenta_debitos_automaticos	0.000751855594234529	0.00226298501271255	0.00154985814857623	
ctarjeta_visa_debitos_automaticos	0.000738656474795325	0.00134306690201329	0.00150607684494414	
ccajas_consultas_delta1	0.000723096465241458	0.00479455433455017	0.000796819726104164	
mdescubierto_preacordado_lag1	0.000707889452404202	0.000730256515156651	0.000875626072641939	
mextraccion_autoservicio_lag1	0.000679059862392526	0.00164049662491931	0.00238170291758607	
ctransferencias_recibidas_delta1	0.000678086668825526	0.00188143419488062	0.0017162271023782	
cpagomiscuentas	0.000673862907361711	0.00178805451674084	0.0016724457987461	
mextraccion_autoservicio	0.000669122847932509	0.00279573572863779	0.00160239571293475	
mprestamos_prendarios	0.000655315326749201	0.00679710675880912	0.000691744597387132	
mcuenta_debitos_automaticos_delta1	0.000643690742869306	0.00329566500271071	0.00147980806276488	
mtarjeta_master_consumo_lag1	0.000638683915008629	0.00194208859706006	0.000893138594094778	
matm_lag1	0.000636633440057489	0.00198381565740273	0.00166368953801968	
ctarjeta_master_delta1	0.000629104067336099	0.00010257822450605	1,75E+09	
ctarjeta_visa_debitos_automaticos_delta1	0.000607284403643994	0.00201732523151953	0.000901894854821197	
Master_mfinanciacion_limite_delta1	0.000601257523739741	0.00540937557388705	0.0011295576337081	
Master_mconsumospesos	0.000585229897442444	0.00136861586511849	0.00173373962383104	
Master_mpagominimo_delta1	0.000574377074377299	0.00312456052177811	0.00114707015516094	
matm	0.000544220397471933	0.0011444623368118	0.00138348919477426	
ccajas_trx_delta1	0.000542208518065031	0.00140080959346771	0.00057791320794368	
mplazo_fijo_dolares	0.000539496617975965	0.00254357936475076	0.00042905677559455	
Master_msaldopesos_lag1	0.000520787604333411	0.00131283857840346	0.00119960771951946	
thomebanking_lag1	0.000520542277963244	0.00060542936821077	0.000954432419179713	
mpagomiscuentas_delta1	0.000520352347026536	0.00164754675345865	0.00140975797695352	
ccaja_ahorro_lag1	0.000514886279174032	0.00109236509498189	0.000910651115547617	
cpagomiscuentas_lag1	0.000513737577157334	0.000886591778818285	0.00123463276242513	
cextraccion_autoservicio_lag1	0.000507648506645825	0.00227234289351147	0.00116458267661378	
Master_msaldototal_delta1	0.000505133043583392	0.00221715192084485	0.000980701201358972	
ccajas_otras_delta1	0.000499489098275355	0.00144888810926468	0.000262687821792582	
Visa_mpagado_delta1	0.000495502023977313	0.0012901871952131	0.00103323876571749	
mplazo_fijo_dolares_delta1	0.000488550469491135	0.00401518767807052	0.000595425729396519	
cextraccion_autoservicio	0.000481813481685732	0.00149032903979685	0.001085776330076	
Master_msaldopesos_delta1	0.000459457295034072	0.00176672333313525	0.000954432419179713	
ccallcenter_trx_lag1	0.000454050548442896	0.00283877229497914	0.000884382333368358	
Visa_mpagosdolares	0.000449909169148027	0.000948002675830381	0.00105075128717033	
catm_trx_lag1	0.000423161008483803	0.00271007613220549	0.00106826380862317	
mttarjeta_master_debitos_automaticos	0.0004000455422931	0.00265451890421551	0.000831844769009842	
cpayroll_trx_lag1	0.000395817716611948	0.00064111134434043	0.000656719554481454	
Visa_msaldodolares_lag1	0.000395801792121584	0.00123405526335388	0.00135722041259501	
